200700000000005030046002098032080600460020000700000001000013800000000046080540000,Medium,213798465879465132546132798132987654465321987798654321654213879321879546987546213,050178002000000000042903100730006080006000000004000000000000207060705004407030000,953178642178642953642953178731526489596487321824391765315864297269715834487239516;
000800400000040030605210000031708000090460000500000080003000006700000203050001870,Medium,312879465978546132645213798231798654897465321564132987123987546789654213456321879,000000003020400000060109020005004000010670900006005048908046010000000000600301004,189527463527463189463189527295834671814672935736915248958746312341258796672391854;
000809000070000200600013070800060000004030000001000465000004321020907050000000900,Medium,312879546978546213645213879897465132564132798231798465789654321123987654456321987,035000987412000000000000000100300006360001000070000003503090001000003050801000009,635412987412987635987635412154379826369821574278564193543298761796143258821756349;
000809040700000000006200870000001900200000000807600020900065100010098005040000000,Medium,123879546789546213456213879564321987231987654897654321978465132312798465645132798,050000000700000200080200009000500802520890000000400005400008600600070900090600071,254739186739186254186254739347561892521893467968427315475918623612375948893642571;
400213000000009000709500002908000000000002007310700060000654100060000080030000400,Medium,456213978123879645789546312978465231645132897312798564897654123564321789231987456,000007001500000000081090000000000800903800000710000009009030100004009760002104950,496527381527381496381496527265913874943872615718645239659738142134259768872164953;
600130007000098000007000200000040312002079005000000900800600000010000456040300000,Medium,654132897321798564987465231798546312132879645465213978879654123213987456546321789,000070000070004205000205070050001800301860000008009000090010007402000000060000091,235976184976184235184235976759341862321867549648529713593618427412793658867452391;
005010807700000230030000060500000008013780000009406000000800400650201000000004003,Medium,465312897798645231132978564546123978213789645879456312321897456654231789987564123,400000000869000407003000000070102504000006708000000001000925000024000000000370100,417869253869253417253417869678132594142596738935748621781925346324681975596374182;
006008000000100654003400000031006700890000000000070002000000009970020500040000213,Medium,456798321789132654123465987231546798897213465564879132312654879978321546645987213,692000504000004600584090000000000016060010040000007000000058460400009000803006005,692731584731584692584692731327945816965813247148267359279158463456379128813426975;
800006000001000465004003000000400321000000900020790050600301070070000200000980000,Medium,897546132231879465564213798789465321456132987123798654645321879978654213312987546,000000700006703000010509086002000000050060900601052000900071000300000090108300400,549286713286713549713549286892437165457168932631952874924671358375824691168395427;
007002000060070130000000098400000300080000600100564000002050079000123040000009000,Medium,897312465564978132231645798456897321789231654123564987312456879978123546645789213,100508020500003170003100508645000000709000400000000090000090000000607000280000759,174568923568923174923174568645739281719286435832415697457892316391657842286341759;
007200000600070013000000809800000060010465000040000030000321004000900000002050907,Medium,987213546654879213321546879879132465213465798546798132798321654465987321132654987,000000007000000030097100400004000980302080004000010023643820710000503000005000042,136458297458297136297136458564372981312985674879614523643829715721543869985761342;
008000005000807310000064900003040000400008000000012056807100500230000007060000030,Medium,978231645645897312312564978123645789456978123789312456897123564231456897564789231,070000000000000273860073500035700002020090040900300000300000400080000900690000758,273519864519864273864273519135748692728691345946325187357986421482157936691432758;
700203000030006000005870001000030400000400080650000120013000078500080000009000640,Medium,798213564132546897465879231987132456321465789654798123213654978546987312879321645,003000000005190703100000000438001000671954020529000006006009000010400000900000000,763845192845192763192763845438621957671954328529378416386519274217486539954237681;
700000020000809000060013700001000645080060000004030000000000090200907500000004231,Medium,798546123132879456465213789321798645987465312654132978546321897213987564879654231,000607300040009820000805000000090000200070090090500432002030080008062051000008000,825647319647319825319825647456293178283174596791586432562731984938462751174958263;
008000006040000003010456000200005790000900000000312400006007301700200000000000980,Medium,978123546645789213312456879231645798564978132897312465456897321789231654123564987,120007050000050106050000000000000071200500600000600940000700009040032000509000004,126397458397458126458126397963284571214579683785613942632745819841932765579861234;
013000807500800000009000064000300040650000012000004008005708100700032000030060000,Medium,213546897546879231879213564987321645654987312321654978465798123798132456132465789,020953000000700020000008900009000004047600010310000000000000100000090080005004000,428953761953761428761428953589217634247635819316849572892376145174592386635184297;
013708000500000800009460000005001780700000023030000006650210000000800040000040300,Medium,213798564546132897879465231465321789798654123132987456654213978321879645987546312,400109000109000405372000009850603004003090000000000800010900000200010900090050600,465189372189372465372465189851623794643798521927541836516937248234816957798254613;
040800000003040000000210506000460090000708130008000005087001050320000007600000300,Medium,546879213213546879879213546132465798465798132798132465987321654321654987654987321,940230570000000000500948201000060000000700000060002000004100603009324180003080020,948231576231576948576948231382465719495713862167892354824157693659324187713689425;
050087010700320000003600000500008000090000406031000780000003004605000201000040800,Medium,456987312789321645123654978564798123897132456231465789978213564645879231312546897,004000005090605304610080700040000000806009000000000900070060539000000001109000870,384792615792615384615384792947856123836129457251437968478261539563978241129543876;
060003000807050010230700000003000400400000008000605102008500000000090604000031087,Medium,564123879897456213231789546123978465456312798789645132978564321312897654645231987,040000750000003800000800219000037000000091000905000104020005001370100000090068000,846219753219753846753846219162437598487591632935682174624975381378124965591368427;
070310060000908000002000007000060080000030400564000100009000000123400000050709002,Medium,978312564645978231312645897231564789897231456564897123789123645123456978456789312,409620050600800409853409000000030000000500006730900000000000342084260000002004000,419627853627853419853419627296138574148572936735946281961785342384261795572394168;
080000004400000300120560000000300060001005708000070032640009000000050800078103000,Medium,789231654456897321123564987897312465231645798564978132645789213312456879978123546,000006080070003500000501006710204065250000000008009700090008350000000000807305090,521976483976483521483521976719234865254867139638159742192648357345792618867315294;
000102065003400000400008000008000050000604900000087301060000003807010500230000070,Easy,789132465123465798456798132978321654312654987645987321564879213897213546231546879,000470001408000000000009070790000002020000900003900005000060127000700000087092000,259478631478631259631259478794516382526387914813924765945863127162745893387192546;
000123400200050790000009000001564000004000003080000006700002000000000980060070301,Easy,879123465213456798546789132321564879654897213987231546798312654132645987465978321,503048000048020500000500908000010000000000009802059000007802050165000800000100006,573948621948621573621573948439716285756284319812359467397862154165497832284135796;
000210506040800000300040000006000300780001050023000007800000005000708130000460090,Easy,978213546645879213312546879456987321789321654123654987897132465564798132231465798,000005000005600002000800140420000000900350000070000009209060704060000020054000006,892145637145637892637892145421976358986354271573281469219563784768419523354728916;
000300004605000201000004800090000406031000780500800000050708010700032000003060000,Easy,978321564645987231312654897897213456231546789564879123456798312789132645123465978,200695003095080000400007000970034850000009700030020000700000000042900000000300060,217695483695483217483217695976134852124859736538726941761548329342961578859372164;
